INFO:2024-01-28 18:10:11,786: Epoch [1/1], Step [270/38250], Loss: 0.37674, Disc Loss: 0.00000, Dur Loss: 0.85211, CE Loss: 0.06147, Norm Loss: 2.50706, F0 Loss: 5.21098, LM Loss: 1.45888 
INFO:2024-01-28 18:10:24,802: Epoch [1/1], Step [280/38250], Loss: 0.38999, Disc Loss: 0.00000, Dur Loss: 0.98597, CE Loss: 0.06760, Norm Loss: 1.53900, F0 Loss: 5.83146, LM Loss: 1.35762 
INFO:2024-01-28 18:10:38,883: Epoch [1/1], Step [290/38250], Loss: 0.39310, Disc Loss: 0.00000, Dur Loss: 0.83799, CE Loss: 0.05581, Norm Loss: 2.22228, F0 Loss: 5.33533, LM Loss: 1.55568 
INFO:2024-01-28 18:10:52,468: Epoch [1/1], Step [300/38250], Loss: 0.37365, Disc Loss: 0.00000, Dur Loss: 0.83110, CE Loss: 0.04969, Norm Loss: 2.11996, F0 Loss: 5.98119, LM Loss: 1.48969 
INFO:2024-01-28 18:11:06,836: Epoch [1/1], Step [310/38250], Loss: 0.38156, Disc Loss: 0.00000, Dur Loss: 0.83930, CE Loss: 0.05834, Norm Loss: 1.58853, F0 Loss: 4.58312, LM Loss: 1.31273 
INFO:2024-01-28 18:11:19,694: Epoch [1/1], Step [320/38250], Loss: 0.37786, Disc Loss: 0.00000, Dur Loss: 1.00220, CE Loss: 0.07312, Norm Loss: 1.382502, F0 Loss: 5.89952, LM Loss: 1.56778 
INFO:2024-01-28 18:11:33,257: Epoch [1/1], Step [330/38250], Loss: 0.37236, Disc Loss: 0.00000, Dur Loss: 0.91686, CE Loss: 0.05551, Norm Loss: 1.99411, F0 Loss: 5.18383, LM Loss: 1.44062 
INFO:2024-01-28 18:11:47,063: Epoch [1/1], Step [340/38250], Loss: 0.40003, Disc Loss: 0.00000, Dur Loss: 0.94194, CE Loss: 0.05948, Norm Loss: 1.89573, F0 Loss: 4.74324, LM Loss: 1.42019 
INFO:2024-01-28 18:11:59,559: Epoch [1/1], Step [350/38250], Loss: 0.36196, Disc Loss: 0.00000, Dur Loss: 0.80031, CE Loss: 0.04869, Norm Loss: 1.63541, F0 Loss: 5.30559, LM Loss: 1.38207 
INFO:2024-01-28 18:12:13,034: Epoch [1/1], Step [360/38250], Loss: 0.38539, Disc Loss: 0.00000, Dur Loss: 0.75107, CE Loss: 0.04467, Norm Loss: 1.71099, F0 Loss: 4.50320, LM Loss: 1.25618 
